Year	Glob	NHem	SHem	24N-90N	24S-24N	90S-24S	64N-90N	44N-64N	24N-44N	EQU-24N	24S-EQU	44S-24S	64S-44S	90S-64S
1880	-19	-33	-5	-38	-16	-5	-89	-54	-22	-26	-5	-2	-8	39
1881	-10	-18	-2	-27	-2	-5	-54	-40	-14	-5	2	-6	-3	37
1882	-9	-17	-1	-21	-10	4	-125	-20	-3	-12	-8	3	8	42
1883	-19	-30	-8	-34	-22	-2	-28	-57	-20	-25	-19	-1	0	37
1884	-27	-42	-12	-56	-17	-11	-127	-58	-41	-21	-14	-15	-5	40
1885	-31	-41	-21	-61	-17	-20	-119	-70	-43	-11	-23	-27	-7	38
1886	-30	-39	-21	-49	-24	-20	-124	-43	-38	-24	-24	-18	-21	28
1887	-33	-37	-28	-46	-27	-26	-158	-52	-21	-24	-31	-24	-29	21
1888	-20	-22	-17	-42	7	-33	-141	-43	-22	7	8	-30	-38	16
1889	-11	-16	-6	-25	4	-17	-82	-13	-21	-3	11	-16	-17	19
1890	-36	-40	-33	-44	-39	-26	-127	-41	-30	-35	-43	-16	-40	4
1891	-23	-23	-24	-33	-16	-23	-118	-17	-27	-8	-24	-20	-28	9
1892	-26	-30	-21	-29	-30	-16	-119	-30	-12	-32	-29	-4	-34	5
1893	-29	-39	-19	-37	-40	-7	-76	-35	-30	-43	-36	3	-22	2
1894	-30	-37	-23	-26	-38	-22	-121	-17	-9	-53	-23	-16	-32	-12
1895	-21	-28	-14	-34	-13	-19	-86	-38	-18	-19	-8	-21	-13	-1
1896	-14	-20	-8	-33	3	-18	-113	-34	-12	-2	8	-15	-22	3
1897	-11	-13	-9	-30	16	-28	-73	-31	-19	13	18	-21	-37	5
1898	-28	-28	-29	-28	-29	-29	-121	-2	-21	-28	-29	-27	-30	8
1899	-16	-17	-15	-18	-13	-17	-99	4	-12	-16	-10	-13	-23	13
1900	-8	-3	-13	-12	15	-34	-50	-3	-8	11	19	-31	-38	12
