Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-29,-19,-17,-27,-13,-28,-22,-6,-16,-15,-18,-20,-19,***,****,-19,-19,-16
1881,-8,-13,2,-2,-3,-27,-5,-1,-8,-18,-25,-14,-10,-11,-13,-1,-11,-17
1882,10,10,2,-19,-17,-24,-9,5,0,-21,-20,-24,-9,-8,2,-11,-9,-14
1883,-32,-41,-17,-23,-24,-11,-7,-12,-18,-11,-19,-17,-19,-20,-32,-22,-10,-16
1884,-17,-11,-33,-35,-31,-37,-33,-25,-22,-22,-30,-28,-27,-26,-15,-33,-32,-25
1885,-64,-29,-23,-44,-41,-50,-28,-27,-19,-19,-22,-5,-31,-33,-41,-36,-35,-20
1886,-41,-45,-41,-28,-27,-39,-15,-31,-18,-25,-26,-24,-30,-28,-30,-32,-28,-23
1887,-65,-47,-31,-37,-33,-20,-18,-27,-19,-32,-25,-37,-33,-32,-46,-33,-21,-26
1888,-42,-42,-47,-28,-21,-20,-8,-10,-7,2,0,-11,-20,-22,-40,-32,-13,-2
1889,-19,15,4,5,-3,-11,-5,-18,-18,-22,-30,-29,-11,-9,-5,2,-11,-23
1890,-46,-48,-41,-38,-48,-27,-29,-35,-36,-23,-37,-29,-36,-36,-41,-42,-30,-32
1891,-45,-48,-14,-25,-17,-21,-21,-20,-13,-23,-36,1,-23,-26,-41,-19,-21,-24
1892,-24,-14,-35,-34,-24,-18,-26,-18,-24,-15,-49,-27,-26,-23,-12,-31,-21,-29
1893,-67,-50,-23,-32,-34,-22,-12,-22,-17,-15,-16,-36,-29,-28,-48,-30,-19,-16
1894,-54,-31,-21,-40,-29,-43,-31,-26,-22,-16,-24,-21,-30,-31,-40,-30,-33,-21
1895,-43,-42,-29,-22,-23,-24,-16,-15,-1,-10,-15,-11,-21,-22,-35,-24,-18,-9
1896,-22,-15,-29,-32,-19,-13,-5,-8,-3,6,-15,-11,-14,-14,-16,-27,-9,-4
1897,-22,-19,-13,-1,0,-13,-4,-3,-4,-9,-18,-26,-11,-10,-17,-5,-7,-10
1898,-7,-33,-56,-34,-36,-21,-23,-23,-20,-33,-35,-21,-28,-29,-22,-42,-22,-29
1899,-17,-39,-35,-21,-20,-26,-13,-4,-2,0,12,-26,-16,-16,-26,-25,-14,3
1900,-39,-6,2,-14,-4,-13,-6,-3,2,10,-12,-13,-8,-9,-24,-5,-7,0
1901,-28,-4,6,-5,-17,-9,-7,-11,-16,-27,-15,-28,-13,-12,-15,-5,-9,-19
1902,-18,-2,-28,-26,-29,-33,-25,-27,-20,-26,-35,-45,-26,-25,-16,-28,-28,-27
1903,-27,-5,-22,-39,-41,-43,-29,-43,-42,-41,-38,-46,-35,-34,-25,-34,-38,-40
1904,-63,-54,-45,-50,-50,-49,-47,-42,-46,-34,-16,-28,-44,-45,-54,-48,-46,-32
1905,-37,-58,-24,-36,-33,-30,-24,-20,-14,-22,-7,-20,-27,-28,-41,-31,-24,-14
1906,-29,-32,-14,-2,-20,-20,-25,-18,-24,-20,-38,-16,-21,-22,-27,-12,-21,-27
1907,-43,-50,-24,-40,-45,-42,-34,-36,-31,-23,-50,-49,-39,-36,-36,-36,-37,-35
1908,-44,-35,-57,-45,-39,-37,-33,-44,-32,-42,-50,-49,-42,-42,-43,-47,-38,-41
1909,-69,-46,-51,-59,-54,-52,-42,-30,-37,-39,-32,-53,-47,-47,-55,-55,-41,-36
1910,-44,-43,-47,-38,-33,-36,-31,-33,-36,-38,-55,-68,-42,-41,-47,-39,-33,-43
1911,-63,-60,-63,-55,-52,-47,-40,-42,-38,-25,-19,-24,-44,-48,-63,-56,-43,-28
1912,-27,-14,-37,-21,-20,-26,-40,-51,-47,-55,-37,-40,-35,-33,-22,-26,-39,-47
1913,-40,-43,-43,-36,-45,-45,-33,-31,-32,-33,-17,-3,-33,-37,-41,-41,-36,-27
1914,2,-13,-22,-27,-19,-21,-23,-13,-13,-5,-20,-9,-15,-15,-5,-23,-19,-12
1915,-19,-1,-9,8,-1,-14,-1,-14,-11,-21,-12,-24,-10,-9,-10,-1,-10,-15
1916,-19,-21,-29,-24,-26,-41,-31,-25,-28,-27,-42,-77,-33,-28,-21,-26,-33,-32
1917,-46,-55,-48,-38,-48,-39,-21,-25,-17,-34,-28,-70,-39,-40,-59,-45,-28,-26
1918,-43,-31,-20,-38,-36,-27,-19,-24,-13,-2,-14,-27,-24,-28,-48,-31,-23,-10
1919,-17,-20,-25,-18,-18,-26,-19,-18,-16,-14,-29,-33,-21,-21,-21,-20,-21,-20
1920,-14,-22,-6,-25,-24,-31,-30,-27,-18,-27,-32,-44,-25,-24,-23,-18,-29,-25
1921,-2,-20,-26,-34,-34,-29,-14,-22,-16,-5,-15,-17,-19,-22,-22,-32,-21,-12
1922,-31,-40,-12,-20,-33,-31,-24,-29,-27,-30,-15,-15,-26,-26,-29,-21,-28,-24
1923,-25,-35,-29,-37,-31,-22,-27,-28,-26,-10,5,-3,-22,-24,-25,-33,-26,-11
1924,-21,-25,-11,-33,-17,-26,-25,-32,-29,-34,-21,-40,-26,-23,-16,-20,-28,-28
1925,-32,-32,-21,-24,-29,-32,-27,-17,-12,-16,5,11,-19,-23,-35,-25,-25,-8
1926,22,8,13,-13,-23,-24,-19,-9,-10,-10,-6,-29,-8,-5,14,-8,-17,-8
1927,-26,-19,-37,-31,-24,-26,-13,-18,-5,1,-3,-35,-20,-19,-25,-31,-19,-2
1928,-2,-10,-27,-28,-28,-40,-19,-24,-19,-18,-9,-19,-20,-21,-16,-28,-27,-15
1929,-46,-57,-34,-41,-38,-42,-32,-28,-23,-14,-14,-53,-35,-32,-41,-38,-34,-17
1930,-28,-23,-9,-24,-24,-17,-14,-9,-10,-8,15,-7,-13,-17,-35,-19,-14,-1
1931,-10,-20,-6,-20,-21,-5,2,0,-6,0,-10,-9,-9,-8,-12,-16,-1,-5
1932,14,-17,-19,-8,-22,-29,-23,-23,-12,-9,-26,-22,-16,-15,-4,-16,-25,-16
1933,-31,-30,-27,-23,-25,-31,-19,-22,-26,-23,-31,-45,-28,-26,-27,-25,-24,-27
1934,-25,-3,-28,-26,-10,-13,-10,-9,-15,-10,0,-7,-13,-16,-25,-22,-11,-8
1935,-37,12,-13,-34,-25,-22,-18,-16,-17,-7,-27,-20,-19,-18,-11,-24,-19,-17
1936,-28,-39,-24,-19,-15,-18,-5,-11,-5,-2,-4,-1,-14,-16,-29,-20,-11,-3
