Intro to Computer Science & Programming Course - Udacity https://www.udacity.com/course/cs101
Intro to Physics Fundamentals Course (Physics 101) - Udacity https://www.udacity.com/course/ph100
Intro to Statistics - Udacity https://www.udacity.com/course/st101
Introduction to Algorithms Course Online - Udacity https://www.udacity.com/course/cs215
Web Development Online Course - Udacity https://www.udacity.com/course/cs253
Software Testing Methodologies Class Online - Udacity https://www.udacity.com/course/cs258
Programming Languages: Building A Web Browser - Udacity https://www.udacity.com/course/cs262
Design of Computer Programs: Programming Principles - Udacity https://www.udacity.com/course/cs212
Artificial Intelligence for Robotics Course - Udacity https://www.udacity.com/course/cs373
Applied Cryptography and Encryption Class Online - Udacity https://www.udacity.com/course/cs387
Machine Learning - Stanford University | Coursera https://www.coursera.org/course/ml
Coursera - Free Online Courses From Top Universities https://www.coursera.org/course/hci
Natural Language Processing - Stanford University | Coursera https://www.coursera.org/course/nlp
Algorithms: Design and Analysis, Part 1 - Stanford University | Coursera https://www.coursera.org/course/algo
Cryptography I - Stanford University | Coursera https://www.coursera.org/course/crypto
Model Thinking - University of Michigan | Coursera https://www.coursera.org/course/modelthinking
Computer Science 101 - Stanford University | Coursera https://www.coursera.org/course/cs101
Automata - Stanford University | Coursera https://www.coursera.org/course/automata
Introduction to Logic - Stanford University | Coursera https://www.coursera.org/course/intrologic
Compilers - Stanford University | Coursera https://www.coursera.org/course/compilers
Coursera - Free Online Courses From Top Universities https://www.coursera.org/course/vision
Game Theory - Stanford University & The University of British Columbia | Coursera https://www.coursera.org/course/gametheory
Introduction to Sociology - Princeton University | Coursera https://www.coursera.org/course/soc101
Computer Architecture - Princeton University | Coursera https://www.coursera.org/course/comparch
Statistics One - Princeton University | Coursera https://www.coursera.org/course/stats1
Algorithms, Part I - Princeton University | Coursera https://www.coursera.org/course/algs4partI
Algorithms, Part II - Princeton University | Coursera https://www.coursera.org/course/algs4partII
Listening to World Music - University of Pennsylvania | Coursera https://www.coursera.org/course/worldmusic
Greek and Roman Mythology - University of Pennsylvania | Coursera https://www.coursera.org/course/mythology
